dataset_name,url
人力資源範疇按專科部門劃分的專科醫生數目,https://data.gov.mo/Detail?id=ab086024-b35e-4a5e-bf57-8a3c93822830
夜間泊車位,https://data.gov.mo/Detail?id=ffa03c4b-cb93-4d27-b82f-6fd05ed87f31
本地居民失業率,https://data.gov.mo/Detail?id=b90ae8f3-a84c-401a-b3d7-4090ff2b5019
現貨住宅樓價指數,https://data.gov.mo/Detail?id=ca1cd724-5a13-43fe-a2af-403e07b3e826
專科衛生護理範疇按專科劃分的住院病人數目,https://data.gov.mo/Detail?id=3682eec7-81d4-4498-aed7-9273c4d40f01
大眾體育活動資料,https://data.gov.mo/Detail?id=51b2fd22-76ef-49dc-892e-590b81110cef
公積金制度-供款人-按性別劃分,https://data.gov.mo/Detail?id=5ea00938-ac46-4434-a94b-ff53532438fe
青年創業援助計劃統計 - 受惠行業,https://data.gov.mo/Detail?id=6dd9ca45-c648-43a6-acd0-f9bec0d061c7
本地就業居民月工作收入中位數,https://data.gov.mo/Detail?id=b946196a-46e9-4c7c-8a49-654fee6b7bc9
一般衛生護理範疇(其他)公共衛生化驗所概況,https://data.gov.mo/Detail?id=1ebae358-335f-4dec-9773-245e9bcd779e
公積金制度-供款人-按年齡劃分,https://data.gov.mo/Detail?id=43b1af2c-4610-4109-9bae-2eb312607b49
民航局回覆的立法會議員書面質詢,https://data.gov.mo/Detail?id=5d375a00-7c6a-4d73-860e-e275b51c4aa1
境外直接投資累計總額,https://data.gov.mo/Detail?id=903f92bd-4c6e-439a-9a92-57ffcdde03a9
海岸線長度,https://data.gov.mo/Detail?id=997c6e81-24d7-41d9-919a-5edbda2d0fbb
發明專利註冊申請量,https://data.gov.mo/Detail?id=a610b85a-766c-4352-8847-3569bde2d028
澳門高等院校教學人員人數統計─按本地及外聘劃分,https://data.gov.mo/Detail?id=03d0cb00-a17b-4833-b71a-ab906783f5e0
公共巴士站總數,https://data.gov.mo/Detail?id=08767a5c-3550-481d-b0d7-e72c55098f63
衛生範疇年終人口統計,https://data.gov.mo/Detail?id=a31814e1-1843-4903-8cab-8d49af328f73
已獲許可經營自行駕駛之機動車輛租賃業務的公司資料,https://data.gov.mo/Detail?id=b81695f0-9b8d-4a06-8433-eeb3dac72c19
一般衛生護理範疇(衛生中心)按門診種類和衛生中心劃分的門診人次,https://data.gov.mo/Detail?id=0f48b275-0cb9-46ab-b3fc-e3249051b621
巴士數量,https://data.gov.mo/Detail?id=3582b963-31c2-4d5b-8a08-1dc198fb125e
空氣質量指數預報,https://data.gov.mo/Detail?id=4591e04c-e63e-467e-af72-d40c20210a42
民航局處理的查詢,https://data.gov.mo/Detail?id=71df13f1-ab9d-480d-927d-c0058bcb7351
本地生產總值實質變動率,https://data.gov.mo/Detail?id=b7ef2411-a129-4979-a1e4-fd072b58c2dc
疾病預防控制範疇按國籍和傳染途徑劃分的愛滋病病毒感染個案,https://data.gov.mo/Detail?id=d2f5af05-6ff6-4f6f-b5a9-f2717cddd5f8
公積金制度-供款人登記之註銷-按供款時間劃分,https://data.gov.mo/Detail?id=fe443e97-5544-4c2c-aacf-e77037da53a7
財務管理範疇與政府有協議的私人藥房,https://data.gov.mo/Detail?id=3f85a540-691c-4463-822e-634446f0ee9f
營業場所名稱及標誌註冊申請量,https://data.gov.mo/Detail?id=58f3e075-6f5c-4bc7-a103-bcd448e3f144
設計及新型註冊申請量,https://data.gov.mo/Detail?id=7af2fae3-e5bb-4244-b475-09bfa8774d2e
地震報告,https://data.gov.mo/Detail?id=8d98109e-0b54-49e3-8493-0eb2a7cd1503
獲頒發體育獎金獎狀資料,https://data.gov.mo/Detail?id=aeb5f3fd-b8d7-4562-8f4f-f28764eb7c9a
青年創業援助計劃統計 - 申請概況,https://data.gov.mo/Detail?id=cd5d99eb-fbf3-4271-b3da-6e520d388d21
天氣預報,https://data.gov.mo/Detail?id=cdcd9dc6-d08c-4783-ae68-d3598a9b9945
財務管理範疇醫療補貼計劃,https://data.gov.mo/Detail?id=f4d024f4-084d-4332-9d6d-cf7cce42b7e2
海上天氣預報,https://data.gov.mo/Detail?id=69d48bce-21f6-4fe1-8b27-0882a645f630
外來直接投資累計總額,https://data.gov.mo/Detail?id=7f66c4d7-9448-445c-8776-26fcf43a441e
各年齡和年級的學生人數,https://data.gov.mo/Detail?id=8b80cae3-7999-4de3-b10f-a236952710c8
強烈季侯風警告,https://data.gov.mo/Detail?id=b592a9c4-6fd5-4c71-97df-b6601b2e0d41
住宅樓花樓價指數,https://data.gov.mo/Detail?id=b8114892-d23e-44f1-860d-8528f9bbc2ac
外地建築工人平均日薪,https://data.gov.mo/Detail?id=c4810513-98a6-455c-8ef9-78a5de398164
一般衛生護理範疇(其他)按堂區劃分的藥房、藥行和中藥房以及藥廠數目,https://data.gov.mo/Detail?id=d8ee0606-97e9-4914-82a4-38737b88bcbf
即時紫外線值,https://data.gov.mo/Detail?id=2c13addd-a91b-436a-a3e2-84ec895b68b6
過去7日紫外線值,https://data.gov.mo/Detail?id=4831822b-5c43-4621-a325-42277da4a1ef
財務管理範疇預算開支和實際開支,https://data.gov.mo/Detail?id=7cecff4b-c07c-4a10-a64b-4a16fa73d812
伽傌射線測量,https://data.gov.mo/Detail?id=a145173e-ff2b-4a16-b2c3-9068f02e9820
雷暴警告,https://data.gov.mo/Detail?id=df178ecd-228d-4218-a8ed-741e59e7811d
衛生範疇按根本死因組別劃分的死亡人數統計,https://data.gov.mo/Detail?id=0e4f6d0f-0f84-4866-8123-f5fbb6557bb2
退休及撫卹制度-撫卹金份數,https://data.gov.mo/Detail?id=1503cd84-60bd-473f-825f-bdfc9905aef8
人力資源範疇實習醫生概況,https://data.gov.mo/Detail?id=837a6043-1ea8-44f4-8762-34b774cc610f
澳門高等院校研究人員人數統計─按本地及外聘劃分,https://data.gov.mo/Detail?id=8e7c7a62-03f0-4c91-8c76-2060b1f0684e
疾病預防控制範疇按地點劃分接受疫苗接種的數目,https://data.gov.mo/Detail?id=9528b8da-f04a-45ed-bd04-540804fa3b60
衛生範疇醫護人員數目統計,https://data.gov.mo/Detail?id=e5023a7d-2ce8-4632-b2d0-ae3bcf47b7ed
一般衛生護理範疇(其他)本澳藥物概況,https://data.gov.mo/Detail?id=fa5e526f-0734-40a7-b829-f9071f9bfd3c
澳門高等院校註冊學生人數統計─按課程程度劃分,https://data.gov.mo/Detail?id=044d7c01-dc57-475c-8b09-114c591f6615
財務管理範疇按預算項目劃分的實際開支,https://data.gov.mo/Detail?id=19d18f13-8b96-4889-bf51-928d92663891
中小企業專項信用保證計劃統計 - 受惠行業,https://data.gov.mo/Detail?id=4d051587-0ab4-4d8b-9f83-1accafc38ba2
紫外線預報,https://data.gov.mo/Detail?id=7baa885b-7dca-4efa-ab65-16c6dee4ddd2
「星級旅遊服務認可計劃」獲獎餐廳食肆,https://data.gov.mo/Detail?id=92de06db-9779-4f44-9c34-1859561d048f
一般衛生護理範疇(衛生中心)按歲組劃分的衛生中心門診人次,https://data.gov.mo/Detail?id=af5492e6-4613-4995-8ee1-30f6f6284b3e
澳門高等院校教職員人數統計─按性別劃分,https://data.gov.mo/Detail?id=c5e87e46-78a0-4f6e-bde1-321ae7dec971
公共停車場數量,https://data.gov.mo/Detail?id=dfadef52-86d8-4415-a86c-027fe1b0b78b
一般衛生護理範疇(其他)按歲組及捐血次數劃分的成功捐血者人數,https://data.gov.mo/Detail?id=f10c1cd9-752f-47b6-9a5f-3270d00db92d
實用專利註冊申請量,https://data.gov.mo/Detail?id=0de74d36-1b39-4c72-a59f-ce271f6777f7
一般衛生護理範疇(衛生中心)尋求初級衛生保健的首十個求診原因,https://data.gov.mo/Detail?id=190885f5-b2e4-481a-bd48-20f98cefdeb0
中小企業援助計劃統計 - 申請概況,https://data.gov.mo/Detail?id=32716464-dc43-44d8-9609-9720b4d16e3c
本地建築工人平均日薪,https://data.gov.mo/Detail?id=4b526f6a-eb74-42ac-9d9b-0b0ecbcfa783
CEPA貨物出口貨值,https://data.gov.mo/Detail?id=57fc99fd-b8fa-4256-859d-6e6c2da66788
一般衛生護理範疇(衛生中心)衛生中心團體健康教育工作,https://data.gov.mo/Detail?id=5aee9f9e-2d7e-4cce-ba91-709b342891fa
一般衛生護理範疇(衛生中心)衛生中心醫務活動,https://data.gov.mo/Detail?id=70c0289e-f52d-4b25-aca3-9e471af28e74
一般衛生護理範疇(其他)按病毒學檢驗項目劃分的檢驗數目,https://data.gov.mo/Detail?id=87db05f2-1040-45d5-a189-c72db7c70395
CEPA澳門服務提供者證明書,https://data.gov.mo/Detail?id=a63ed7a4-c86e-48d2-b3e8-870155e8d156
澳門高等院校畢業學生人數統計,https://data.gov.mo/Detail?id=a7cf57a0-b0dd-458e-967a-4c78474559cb
衛生範疇醫院病床數目統計,https://data.gov.mo/Detail?id=beed4ba9-6a7e-46dc-9fc3-ea4cc8f1533d
一般衛生護理範疇(其他)按檢驗項目劃分的檢驗數目,https://data.gov.mo/Detail?id=dd3da9be-4785-49fc-9fdb-7fcc24edfc94
辦公室單位每平方米平均價格,https://data.gov.mo/Detail?id=f736874d-3679-4fb4-82b6-31191b1dfc0d
專科衛生護理範疇按專科劃分的門診人次,https://data.gov.mo/Detail?id=fba9e857-c978-4ec8-942f-9a6263a453ed
人力資源範疇按工作人員所屬系統劃分的人員分佈,https://data.gov.mo/Detail?id=0d183407-720d-4289-b1fc-680ab062f8a9
專科衛生護理範疇按歲組劃分的住院病人數目,https://data.gov.mo/Detail?id=3fd16e3f-dfb2-45cd-beb6-5eeae7d95894
專科衛生護理範疇按歲組劃分的門診人次,https://data.gov.mo/Detail?id=55a3937c-7aa1-427f-89c5-c0be92d20a0f
巴士司機數量,https://data.gov.mo/Detail?id=64e7adeb-a376-4129-a48f-72f2bd4dda63
人力資源範疇衛生局人員數目,https://data.gov.mo/Detail?id=7c3820ce-a13b-4058-9ade-613303c91c8a
一般衛生護理範疇(其他)藥物監測概況,https://data.gov.mo/Detail?id=a3656732-ba67-4faa-8a1b-15a1b0b22520
一般衛生護理範疇(其他)私人醫務活動場所數目,https://data.gov.mo/Detail?id=b556d624-d01b-42cd-8919-e1829f14aedb
一般衛生護理範疇(衛生中心)衛生中心護理工作,https://data.gov.mo/Detail?id=bbdbefcf-cd0c-4e14-b955-bd72c1425b1a
疾病預防控制範疇按年齡劃分的疫苗接種可以預防的申報疾病病例數,https://data.gov.mo/Detail?id=c70cddfc-60ad-4e98-be9b-94dd19686bfb
衛生範疇按十大特定死因劃分的死亡人數統計,https://data.gov.mo/Detail?id=f291d76e-d267-456b-a01d-34a1fb10db60
校部數(按學校分類和教育階段劃分),https://data.gov.mo/Detail?id=01661ffe-1d4d-442b-9273-425faed2d4a2
疾病預防控制範疇蚊的控制工作,https://data.gov.mo/Detail?id=13b0a128-bf31-4588-8678-04d1269a493d
